Token_Number,Speaker,Token,Pitch,Time,Style
1,1,yin1,279.81,0.92,citation
1,1,yin1,280.99,0.93,citation
1,1,yin1,282.27,0.94,citation
1,1,yin1,283.22,0.95,citation
1,1,yin1,285.23,0.96,citation
1,1,yin1,286.17,0.97,citation
1,1,yin1,287.7,0.98,citation
1,1,yin1,288.88,0.99,citation
1,1,yin1,287.2,1,citation
1,1,yin1,285.44,1.01,citation
1,1,yin1,287.01,1.02,citation
1,1,yin1,288.45,1.03,citation
1,1,yin1,289.29,1.04,citation
1,1,yin1,291.18,1.05,citation
1,1,yin1,292.41,1.06,citation
1,1,yin1,293.95,1.07,citation
1,1,yin1,295.31,1.08,citation
1,1,yin1,296.22,1.09,citation
1,1,yin1,295.29,1.1,citation
1,1,yin1,292.61,1.11,citation
1,1,yin1,289.34,1.12,citation
1,1,yin1,290.79,1.13,citation
1,1,yin1,291.6,1.14,citation
1,1,yin1,290.81,1.15,citation
1,1,yin1,291.95,1.16,citation
1,1,yin1,292.1,1.17,citation
1,1,yin1,289.73,1.18,citation
1,1,yin1,288.88,1.19,citation
1,1,yin1,288.72,1.2,citation
1,1,yin1,285.63,1.21,citation
1,1,yin1,285.45,1.22,citation
1,1,yin1,282.49,1.23,citation
1,1,yin1,282.78,1.24,citation
2,1,yang2,150.33,2.07,citation
2,1,yang2,157.51,2.08,citation
2,1,yang2,165.57,2.09,citation
2,1,yang2,171.23,2.1,citation
2,1,yang2,169.59,2.11,citation
2,1,yang2,165.94,2.12,citation
2,1,yang2,169.49,2.13,citation
2,1,yang2,173.32,2.14,citation
2,1,yang2,173.86,2.15,citation
2,1,yang2,173.32,2.16,citation
2,1,yang2,176.78,2.17,citation
2,1,yang2,180.73,2.18,citation
2,1,yang2,184.88,2.19,citation
2,1,yang2,188.45,2.2,citation
2,1,yang2,191.15,2.21,citation
2,1,yang2,194.33,2.22,citation
2,1,yang2,198.06,2.23,citation
2,1,yang2,201.74,2.24,citation
2,1,yang2,204.85,2.25,citation
2,1,yang2,208.25,2.26,citation
2,1,yang2,211.94,2.27,citation
2,1,yang2,217.86,2.28,citation
2,1,yang2,222.95,2.29,citation
2,1,yang2,226.64,2.3,citation
2,1,yang2,229.89,2.31,citation
2,1,yang2,234.45,2.32,citation
2,1,yang2,240.27,2.33,citation
2,1,yang2,244.79,2.34,citation
2,1,yang2,249.01,2.35,citation
2,1,yang2,253.39,2.36,citation
2,1,yang2,257.43,2.37,citation
2,1,yang2,261.82,2.38,citation
2,1,yang2,268.43,2.39,citation
2,1,yang2,274.86,2.4,citation
2,1,yang2,279,2.41,citation
2,1,yang2,281.58,2.42,citation
2,1,yang2,284.74,2.43,citation
2,1,yang2,286.49,2.44,citation
2,1,yang2,286.61,2.45,citation
2,1,yang2,287.61,2.46,citation
2,1,yang2,288.43,2.47,citation
2,1,yang2,287.64,2.48,citation
3,1,shang3,193.99,3.3,citation
3,1,shang3,188,3.31,citation
3,1,shang3,178.75,3.32,citation
3,1,shang3,171.41,3.33,citation
3,1,shang3,169.28,3.34,citation
3,1,shang3,163.49,3.35,citation
3,1,shang3,159.11,3.36,citation
3,1,shang3,155.94,3.37,citation
3,1,shang3,152.16,3.38,citation
3,1,shang3,149.44,3.39,citation
3,1,shang3,147.25,3.4,citation
3,1,shang3,143.28,3.41,citation
3,1,shang3,140.18,3.42,citation
3,1,shang3,138.59,3.43,citation
3,1,shang3,138.22,3.44,citation
3,1,shang3,136.12,3.45,citation
3,1,shang3,134.2,3.46,citation
3,1,shang3,132.01,3.47,citation
3,1,shang3,130.08,3.48,citation
3,1,shang3,127.73,3.49,citation
3,1,shang3,126.26,3.5,citation
3,1,shang3,124.44,3.51,citation
3,1,shang3,122.85,3.52,citation
3,1,shang3,122.65,3.53,citation
3,1,shang3,122.3,3.54,citation
3,1,shang3,122.04,3.55,citation
3,1,shang3,123.19,3.56,citation
3,1,shang3,122.59,3.57,citation
3,1,shang3,121.48,3.58,citation
3,1,shang3,121.14,3.59,citation
3,1,shang3,122.25,3.6,citation
3,1,shang3,123.22,3.61,citation
3,1,shang3,124.83,3.62,citation
